Bus Id,Incontact_Time
C47729,1
C47766,42
C47834,29
C478450,515
C47907,21
C47934,12
C47940,3
C47950,1
C51567,20
C515760,359
C51633,8
A412540,387
A480350,1014
A48115,37
A48134,177
A502250,675
A63512,1
A715710,669
B116020,588
B11655,30
B31081,507
B44519,2
B515840,534
C30106,32
C30280,36
C30293,3
C30295,26
C41406,221
C418730,682
C475920,552
C47664,4
C477100,319
C478670,369
C47885,41
C47909,4
C47985,11
C501480,1172
C51557,22
C51582,10
A410110,775
A411600,466
A418510,759
A418760,166
A48068,56
A48139,11
A501250,709
A716110,462
B102020,423
B116560,415
B117010,593
B31061,140
B31153,94
B425510,305
B425550,372
B425940,448
B551440,433
B630570,609
B71004,0
C13150,495
C30031,3
C30134,126
C301550,573
C30187,62
C30230,0
C303120,556
C414170,883
C41428,319
C418840,748
C425350,408
C47555,81
C47565,24
C47568,1
C47645,1
C47850,1
C515550,335
C826620,718
A377420,477
A411960,611
A412080,640
A413050,938
A413410,921
A480840,926
A48088,129
A550040,483
A72065,1
A72139,698
B11525,470
B11579,41
B31058,276
B31084,314
B51651,18
B82582,55
C13081,534
C13149,1
C30103,13
C30166,5
C30274,15
C477540,545
C47899,33
C500810,756
C72155,822
C82544,0
A410920,851
A411700,599
A412200,851
A412310,763
A48095,13
A48150,73
A48181,17
A635030,598
A72138,665
B117000,450
B285010,688
B326620,499
B515580,199
B515830,590
B515960,580
B63093,29
B71064,18
B711690,266
C130610,0
C300890,380
C30156,26
C30181,84
C412210,787
C47871,6
C82678,48
A290240,541
A290360,577
A411790,653
A412140,580
A48049,14
A63501,0
B100750,333
B117170,316
B285710,515
B31036,245
B426130,452
B51501,30
B630410,563
B82575,26
B82611,20
C30004,3
C30228,1
C30501,445
C41287,535
C418650,789
C418820,725
C476990,483
C477230,480
C47783,29
C47798,474
C825980,855
C82676,297
C87817,24
A413650,568
B255410,377
B31053,380
B31056,337
B42550,12
B42668,6
B551120,484
B711230,108
B82626,65
B82648,288
C200040,345
C27115,263
C30098,11
C301800,515
C30219,19
C410670,225
C411440,494
C418660,872
C426030,422
C477950,459
C478080,403
C501630,711
C51605,2
C863080,799
A020,463
A501900,759
A716030,737
B11609,43
B11699,1
B31006,446
B31077,473
B326070,242
B63087,37
B631030,336
C13025,14
C13122,4
C201420,484
C410570,943
C412320,743
C412720,700
C47837,7
C47897,13
C82555,68
C826160,742
C878040,477
A275660,573
A411940,821
A412700,639
A501290,689
A72048,110
B11577,1
B11604,195
B31017,372
B31030,333
B425300,448
B550900,143
B71012,28
B710560,500
B71080,29
B711120,358
B82639,64
C30214,37
C47682,4
C47779,56
A291620,663
A410260,745
A48034,81
A48104,76
A48149,53
A550920,436
A551110,637
B105050,570
B11524,59
B115400,604
B31027,501
B31120,203
B42541,26
B42633,21
B51569,119
B63063,166
C13093,49
C30048,25
C411190,774
C418750,849
C47796,383
C500580,862
C82546,28
C825920,804
A290180,430
A412400,508
A41812,696
B101520,559
B11678,21
B31105,278
B31123,135
B425580,543
B425630,389
B63081,172
B73038,17
C41422,59
C425230,375
A411930,641
A418480,681
A48039,75
A550930,247
A551150,393
A72173,23
B100320,304
B11547,32
B255510,405
B51595,23
C13058,13
C200390,520
C410280,525
C413860,583
C418640,761
C418720,718
A411990,716
A715650,532
A720450,769
B11610,104
B31031,346
B31092,620
B327020,599
B82573,53
C131650,558
C303200,563
A715010,41
A72152,48
B42522,7
B580080,497
C30094,93
C302660,580
C30324,23
C41403,131
A71533,275
A71561,40
A71620,355
B105180,390
B116410,470
B270360,642
B600960,427
B711500,4
C47614,161
A291180,391
A410050,772
A635310,355
B100100,351
B10112,119
B101480,482
B256020,433
C202170,486
A275750,624
A290190,509
A291890,179
B11533,276
B271340,563
B285210,633
B325590,568
B326570,511
B425400,462
B755350,615
B82671,19
C270820,273
C418680,1010
C47840,12
C878010,412
A275270,428
A29004,22
A412760,59
B25614,16
B285340,324
B44533,7
C210530,592
C47817,27
C878400,496
A290370,460
A500430,545
B100140,368
B100990,427
B101090,368
B27064,12
B42582,6
C210270,558
C47581,3
A290530,291
B100340,274
B271470,512
B285120,427
B755970,531
C27030,52
C27112,376
C82584,25
A276310,646
A276830,479
A290840,488
A410910,38
A715410,612
B195780,503
B27110,455
B285330,461
B285830,624
C201320,279
C201370,477
C30018,61
A291100,415
A291900,406
A412660,654
A550710,413
B101880,410
B285160,360
B285270,461
B285410,330
B31071,587
B755170,714
A275070,931
A276160,600
A290250,401
A550220,359
B11686,237
B326640,581
B328050,501
B44687,22
B581720,394
B600460,429
C21069,441
C270040,509
C271090,470
C476240,476
A275450,616
A275620,629
A276320,452
A276780,500
A290810,447
A291260,341
B101690,418
B195410,99
B270260,740
B27040,28
B270500,833
B270760,464
B285250,505
B446520,514
B580150,400
C13072,506
C27052,72
C47579,176
C863060,746
A275010,376
A275140,600
A275230,636
A276280,806
A290780,487
A500180,638
B101180,687
B102000,456
B271020,10
B271500,610
B285060,619
B285090,410
B285550,803
B550620,434
B551390,1
C13079,9
C202330,479
C210110,364
C210310,481
C445170,181
C446020,491
C446440,348
C478570,5
C478650,461
A275420,556
A275800,341
A290210,536
A29139,23
A377090,403
A551010,586
A635240,559
B100440,376
B195650,333
B195750,431
B255460,119
B271570,373
B285420,622
B285820,589
B581160,476
B73081,514
B75529,2
C200270,604
C27041,177
C27054,142
C47621,539
C47922,10
A275130,651
A275690,423
A276270,523
A276430,508
A290340,541
A412880,654
A55059,0
A551310,448
A635160,917
B100420,540
B100700,349
B101710,383
B27125,3
B285360,610
B285840,581
B286080,662
B286160,345
B326740,367
B73043,445
B75624,5
B82553,38
C202190,491
C30079,76
C47741,13
A276180,413
A276490,522
A276820,457
A37714,2
A413510,693
B285850,508
B42536,6
B44619,18
B600760,626
C13059,2
C200030,306
C30132,234
C413980,200
C47695,2
C878090,199
A275380,783
A290620,453
A375470,577
A410320,511
A41319,78
A413390,389
B256030,516
B285910,447
B287330,514
B311360,528
B32569,232
B445900,468
B550850,433
C130050,420
C30034,529
C47728,7
A275950,805
A276190,470
A290790,504
A29099,6
A291010,486
A291290,383
A291790,539
A291820,139
A291840,472
B258160,328
B270710,365
B271520,526
B285180,625
B285300,472
B285310,468
B285670,486
B31167,417
B446760,427
B446890,420
B51579,1
C13018,15
C13053,222
C13124,573
C200830,337
C202500,454
C270490,329
C47550,7
C47594,35
C47640,1
C47740,27
C47973,12
A276010,560
A276370,633
A375740,285
A376540,181
A410170,855
A635190,77
B255300,971
B27016,366
B270320,566
B270440,506
B271450,395
B285130,385
B285480,341
B285900,603
B51528,22
C130240,466
C13043,476
C130960,605
C13107,4
C13154,7
C210250,620
C30016,533
C30025,448
C30192,5
C474940,667
C475050,448
C47757,23
C47921,11
C47944,24
C479570,491
C87808,36
A275470,676
A276210,593
A29007,3
A290660,462
A291000,602
A376030,346
A377490,376
B101680,612
B101700,126
B105010,663
B195640,168
B25601,10
B285690,561
B31159,437
B325860,263
B445010,554
B51535,59
C13006,497
C13063,418
C13076,674
C13105,1
C13160,6
C20060,147
C201230,532
C27059,246
C30022,0
C30175,16
C301790,497
C30185,39
C30190,1
C30263,103
C47522,61
C47554,3
C47625,44
C47638,6
C47717,47
C47745,3
C47755,5
C47916,22
C47965,8
C51564,26
A27505,22
A275300,401
A377150,477
A410630,770
A50185,596
A550010,439
A550800,404
A550950,448
B10062,8
B195740,213
B270450,822
B285870,518
B446390,414
B51591,157
B51594,13
B600650,580
B600750,698
C13060,522
C13082,564
C130880,373
C13209,472
C210460,217
C27018,124
C27120,382
C30011,526
C30252,472
C30282,64
C303070,705
C30311,13
C446100,336
C47569,5
C47641,9
C47669,6
C47671,1
C478540,607
C478800,597
C478900,110
C47898,97
C47971,2
A275740,451
A276220,536
A276760,739
A290470,282
A550690,444
A550730,437
A551060,649
B285040,403
B285170,321
B44595,3
B51520,11
B515850,485
B51644,26
B581260,471
B73052,253
B75526,4
B75582,2
B756400,741
C13095,34
C13111,243
C27029,10
C30067,120
C30088,90
C30174,101
C30206,8
C30208,6
C30222,3
C30237,64
C30260,10
C30286,32
C30301,0
C30327,1
C445510,426
C446220,362
C47506,17
C47596,26
C476830,324
C47742,8
C47746,2
C47787,454
C478010,472
C478760,666
C47882,2
C478890,249
C47972,0
C51551,2
C878390,20
C878480,663
A290270,618
A291420,304
A550050,465
B10195,92
B105490,355
B270090,447
B270650,568
B270680,674
B285030,709
B285280,686
B32610,183
B550670,356
B550870,499
B551400,568
B755060,615
C13009,388
C130400,361
C13094,28
C13128,207
C13131,466
C13136,604
C30012,542
C30017,481
C30044,37
C30055,2
C30066,25
C301080,333
C30313,76
C47503,11
C475070,525
C475120,240
C47679,48
C47691,0
C47696,49
C47711,42
C477340,502
C477780,484
C47793,448
C47811,18
C47877,50
C47883,0
C47938,4
C47942,16
C47970,37
C51592,84
A375980,350
A410590,714
A48118,73
B10138,9
B19606,85
B285100,506
B285950,389
B286070,691
B32508,77
B327300,488
B327370,355
B515370,604
B51547,4
B515500,217
B51586,457
B51627,2
B600040,483
B600950,527
C13046,476
C13055,615
C13071,247
C13112,631
C13121,41
C13123,17
C13127,2
C13159,550
C132020,94
C13211,4
C20085,1
C202160,368
C210660,346
C270350,344
C30153,30
C446260,199
C474980,325
C47514,2
C475740,417
C475970,504
C47603,8
C47610,1
C476230,510
C47642,53
C47658,11
C47666,3
C47681,16
C47804,72
C47839,0
C47984,6
C515120,423
C51572,4
C51608,519
C51622,11
C878160,403
A276420,626
A290650,325
A291720,616
A375650,531
A375670,635
A377210,464
A63525,0
B255630,398
B270190,428
B27138,8
B285220,503
B326490,749
B445120,561
B446590,516
B446900,484
B51529,42
B51538,6
B581910,449
B73053,379
B731180,470
B75591,18
C13011,99
C13051,340
C13125,212
C13198,385
C200420,422
C200860,91
C202130,14
C30002,3
C30027,421
C30049,0
C30177,6
C301880,613
C30242,7
C30261,52
C30265,18
C302970,457
C30299,9
C474950,540
C47524,1
C475830,465
C47622,1
C47629,16
C47686,5
C47756,8
C47769,8
C47803,20
C47816,23
C478260,361
C47844,0
C47947,53
C47981,36
C47990,13
C51603,177
A275630,530
A275870,618
A276000,618
A276840,524
A290410,4
A376200,505
A37702,175
A63520,0
A635220,672
B10126,49
B255360,197
B256060,567
B27047,577
B271350,454
B285590,70
B325700,376
B326710,357
B418080,502
B44572,10
B44618,141
B446740,509
B51552,1
B51565,6
B51587,332
B51616,11
B730080,41
C13027,36
C13030,316
C13050,490
C13052,5
C13062,613
C13077,718
C13106,17
C131350,0
C13144,349
C200150,412
C201640,337
C201670,55
C271140,456
C30008,1
C30039,1
C30054,10
C30073,68
C30120,4
C30193,37
C30200,3
C30229,25
C30264,1
C302920,61
C303220,558
C47519,99
C47528,16
C47541,27
C47547,75
C47584,8
C47616,6
C47652,398
C476550,335
C47661,64
C476650,546
C47714,5
C47758,14
C47762,60
C47771,8
C47872,5
C47924,14
C47946,17
C47969,6
C51523,9
A275530,437
A375450,452
A37590,54
A550410,393
B105360,413
B105610,387
B285110,431
B285450,340
B287250,615
B325380,569
B325960,543
B326060,139
B326870,611
B445360,463
B51568,172
B516060,206
B550100,534
B580320,573
B580530,472
B731030,619
C13130,11
C13142,560
C200920,581
C202050,547
C270150,524
C30007,3
C30013,502
C30047,55
C30058,38
C30074,51
C301720,591
C30178,2
C30221,26
C302360,437
C302480,328
C30249,1
C302570,386
C30272,424
C30290,497
C303260,655
C412590,996
C475570,489
C476110,271
C476340,455
C47680,5
C47684,385
C477310,421
C47753,3
C47759,12
C47832,18
C47842,30
C478780,202
C478950,273
C47920,5
C515810,474
C720350,620
C825910,557
A29051,0
A291810,590
A375190,498
A410120,355
A480400,875
A550390,447
B100280,366
B101970,324
B195070,429
B195340,203
B285680,432
B51519,413
B515300,231
B551530,474
B73069,450
C13021,20
C13109,67
C131730,546
C131780,593
C13200,519
C210130,537
C21042,16
C270530,277
C270670,378
C300460,365
C300620,101
C30068,46
C30164,2
C30215,4
C30267,1
C303170,533
C30325,8
C413450,814
C445930,178
C446780,1
C47513,9
C47521,4
C47532,81
C47537,18
C47551,0
C47570,17
C47601,0
C47688,29
C476920,313
C47744,9
C47782,1
C478070,470
C47830,22
C47859,12
C47893,0
C47964,5
C47966,2
C516350,495
C82511,79
C825630,768
A291050,268
A291400,143
A375510,571
A376700,486
A377460,400
A550640,512
A715490,343
A72095,82
B325070,452
B326370,463
B445140,437
B44643,122
B446480,445
B51517,248
B51611,17
B51625,5
B516520,372
B551450,236
B580400,453
B581640,591
B581960,391
B600370,325
B75502,11
C13002,516
C13064,520
C130970,477
C13134,101
C13158,415
C13196,531
C13213,387
C201000,411
C20152,0
C270690,588
C30056,2
C30059,81
C30069,9
C300920,384
C30211,105
C302380,523
C302470,474
C30296,4
C30305,72
C475040,258
C47510,4
C47533,9
C475400,637
C47542,41
C47548,2
C47558,8
C47600,19
C476530,628
C47823,4
C47824,21
C47941,1
C47959,4
C47980,29
C47992,8
C51505,68
C51536,29
C51543,45
C516310,450
C51637,29
C825620,673
A37688,138
A551280,400
A551570,545
B105160,444
B270600,14
B285990,408
B286060,785
B327080,403
B446340,210
B51549,408
B580770,606
B58706,74
B600110,253
B60089,100
C130030,345
C13019,1
C130350,546
C13057,409
C13075,0
C13139,98
C13175,505
C13176,1
C13184,500
C200870,538
C20211,448
C30052,26
C30076,167
C30116,15
C301940,565
C30213,19
C30258,47
C30319,94
C445710,389
C445730,195
C47556,47
C47617,7
C476630,494
C47739,14
C477630,602
C47799,121
C478090,460
C478640,450
C47925,5
C47932,2
C47967,34
C51559,37
C863070,888
A276260,662
A290140,851
A375180,783
A377440,283
A48054,70
A48099,21
A550400,570
A72029,84
B100770,320
B195920,531
B270060,255
B27104,529
B271480,484
B325090,542
B325230,16
B32613,196
B44542,11
B51513,45
B51526,209
B51532,4
B550530,601
B550700,106
B756000,24
C13016,484
C13020,506
C13065,139
C130680,341
C13152,28
C200520,599
C30033,418
C30051,31
C30081,15
C30084,82
C30130,168
C301990,523
C30240,78
C47582,3
C476190,495
C47639,5
C476500,628
C476900,343
C476940,363
C476970,564
C47716,9
C47730,4
C47788,463
C478480,272
C478490,437
C478530,412
C47856,566
C47948,5
C47956,37
C47968,12
C47976,17
C47991,14
C500320,895
C51510,37
C515610,464
C516150,366
C51632,7
C51634,0
C51636,6
C51639,4
C878070,594
A275320,448
A276540,367
A375760,442
A412890,755
A413030,907
A551290,316
A720890,838
B101100,370
B195930,226
B256150,408
B285970,631
B285980,468
B326270,460
B326550,544
B326590,751
B327350,466
B445320,255
B44567,10
B44655,13
B51524,1
B51546,29
B516120,564
B516130,516
B51641,275
B550910,539
C13056,1
C131080,450
C13201,6
C200570,267
C201400,354
C270170,659
C30015,103
C300290,503
C30032,557
C30060,25
C30071,1
C300860,512
C30133,2
C30145,6
C301890,571
C302100,781
C30243,23
C302700,590
C302830,544
C30289,16
C303040,708
C30321,16
C30323,11
C30502,456
C41393,216
C47543,5
C47587,102
C47591,9
C476080,379
C47620,7
C47643,2
C476460,612
C477200,467
C477490,363
C47784,76
C47786,385
C47838,18
C47912,3
C47954,13
C47989,19
C51545,9
C515740,501
C515780,457
C51580,8
A276250,524
A290230,697
B11596,29
B271330,436
B285780,405
B310190,597
B325910,505
B326650,404
B32680,87
B51518,15
B516300,139
B580890,596
B582000,418
B600130,550
B600660,636
B600980,825
B82668,197
C13033,316
C130780,490
C13102,11
C20033,0
C202410,654
C27034,11
C30009,6
C300280,176
C30041,1
C300700,609
C30077,19
C30096,12
C30107,3
C30113,0
C30137,96
C30140,445
C30159,0
C30209,11
C30246,16
C30254,31
C418630,822
C474820,723
C47492,1
C47605,3
C47613,57
C47913,15
C47949,44
C502150,748
C82651,10
C878000,626
A275340,554
A275390,629
A275700,349
A275940,609
A48108,40
A550140,452
A715530,637
A720050,638
B100130,353
B255640,549
B285740,539
B325370,517
B326290,440
B32635,175
B326440,457
B446310,277
B44665,13
B516460,361
B51648,3
B550680,437
B600440,671
B710210,257
B710630,289
B755100,588
B82572,47
B82652,148
C130320,25
C13038,375
C13137,454
C13192,422
C200890,422
C20106,613
C202150,472
C30104,5
C30122,77
C30256,489
C302760,609
C47576,501
C477040,279
C47736,34
C47747,30
C477670,663
C47822,1
C478730,473
C47953,5
C47982,49
C47987,38
C501000,702
C51539,17
C51638,22
A275360,699
A375440,668
A501490,793
B100180,205
B105340,477
B195160,338
B195980,399
B256110,473
B287060,271
B325300,51
B325420,179
B326910,506
B515660,292
B58704,48
B600790,591
C13010,5
C13022,5
C130390,395
C13145,12
C201660,528
C21052,68
C270830,343
C30075,1
C30109,0
C30142,6
C30170,35
C301730,217
C302010,499
C30202,26
C302810,507
C30303,20
C474830,588
C47546,2
C47553,20
C475900,530
C47593,1
C475950,377
C476540,713
C47700,2
C47708,35
C47776,57
C47961,42
A276130,666
A276340,1
A37538,128
A410820,743
A500260,763
A551470,287
A551560,414
A72050,22
B105390,379
B255080,80
B25557,60
B271600,538
B325100,530
B326750,704
B446000,512
B446700,256
B51540,27
B516200,352
B516450,497
B581480,510
B581770,368
B731010,457
C13026,72
C13054,59
C20212,448
C30005,3
C30014,8
C30026,28
C30135,5
C30169,104
C30198,40
C30239,5
C44556,9
C446030,171
C446540,428
C475850,517
C47588,7
C47627,1
C477220,517
C47768,48
C47775,656
C478200,402
C478860,343
C47918,0
C47978,9
C825170,492
A275060,706
A275710,181
A376440,420
A414380,667
A480870,897
A550120,438
A551320,585
B196070,481
B27027,445
B271000,278
B271400,502
B271630,401
B31054,227
B31114,346
B31140,352
B326140,616
B445620,347
B446960,462
B51522,9
B51548,30
B550660,498
B55082,253
B601010,381
C201730,543
C202140,574
C30035,76
C30045,109
C30063,19
C30090,1
C30099,57
C30102,3
C301260,620
C301960,596
C30218,0
C30275,3
C474990,480
C47517,370
C475670,397
C47602,26
C47715,3
C47751,7
C478120,453
C478330,566
C47852,610
C47861,0
C47930,2
C47933,1
C47943,6
C47952,17
C47977,10
C51504,19
C515600,481
A275680,397
A291750,40
A715370,514
A72174,69
B11541,13
B11557,43
B115670,542
B11572,4
B25550,43
B271560,329
B310350,615
B325870,429
B325880,81
B51562,24
B516170,344
B516260,265
B600470,514
B600810,343
B63090,10
B631070,446
C13001,93
C13034,22
C13069,546
C13085,257
C13143,5
C13180,226
C30023,559
C30057,17
C300820,602
C301180,329
C302120,443
C30302,112
C30314,48
C410930,144
C412630,1019
C47527,42
C47531,46
C47651,20
C47790,292
C47802,3
C47847,11
C478940,387
C47901,23
C47951,8
C720240,690
C82675,33
A290560,469
A291230,470
A375130,489
A375140,460
A377070,277
A413700,817
A48006,90
A48027,55
A500360,607
A716180,793
A71621,174
A72186,24
B11532,165
B116910,498
B11706,61
B19573,118
B255380,75
B28532,80
B310290,598
B310430,528
B31126,433
B31131,430
B326610,417
B327230,554
B51650,166
B630750,637
B730020,0
B73007,520
B731330,377
B82665,48
C13104,38
C13187,598
C20098,0
C30110,3
C30123,3
C301380,374
C301480,704
C301610,362
C30205,52
C302450,167
C302690,411
C30316,108
C474850,618
C47637,14
C47687,5
C47727,15
C47760,70
C47789,437
C47815,33
C47825,35
C478790,634
C47905,10
C47931,16
C47960,24
C47963,22
C51507,29
C825220,738
C82629,41
A376110,561
A376370,521
A37705,93
A411310,588
A50066,849
B105020,414
B105380,478
B115090,735
B195630,216
B27012,337
B286000,575
B326050,61
B326770,400
B42539,2
B51542,22
B600600,421
B601040,448
C13066,542
C131290,409
C13169,466
C300430,408
C301280,0
C30151,10
C30278,95
C30288,443
C414050,785
C446640,453
C446800,490
C475080,265
C47511,8
C475440,332
C47578,4
C47580,11
C47673,8
C47698,51
C47702,5
C47780,652
C477810,392
C47791,459
C478060,209
C47827,5
C47892,207
C47986,0
C47988,2
C51531,26
C51544,26
C515890,398
C720010,739
C825690,740
C82650,273
A376480,673
A376840,598
A410220,92
A411050,780
A414400,795
A418490,723
A48127,395
A48138,35
A481450,847
A48164,27
A502220,733
A72108,134
B105070,355
B115040,388
B11558,10
B11584,250
B116900,567
B195460,494
B195790,359
B287070,598
B31069,330
B31125,407
B325310,396
B325430,470
B326220,626
B327210,639
B51563,12
B51629,22
B581780,462
B630590,668
B73044,508
B730510,478
C13080,27
C131940,17
C30100,36
C30115,3
C301240,201
C30150,58
C30191,1
C302040,585
C30226,0
C30271,6
C418700,823
C418780,522
C475000,411
C47526,3
C47535,570
C475490,412
C475980,489
C47632,7
C47649,0
C476570,692
C47678,3
C478510,604
C47888,21
C47904,11
C47906,12
C47914,26
C47917,1
C479450,283
C47955,9
C501020,861
C501640,915
C51556,84
C82579,3
A375320,403
A376330,422
A376450,412
A37676,117
A37719,273
A412460,870
A412820,398
A41353,87
A41810,821
A48053,45
A48172,14
A551100,411
A551300,409
A715030,435
A71509,40
B105400,489
B105430,440
B19524,110
B195850,160
B325920,222
B326470,572
B516420,63
B581940,444
B60544,0
B710910,482
C13049,38
C13115,378
C132080,336
C13214,675
C27021,13
C30037,2
C30061,2
C30064,7
C30091,64
C30149,5
C30152,6
C302240,565
C30328,36
C41385,171
C414210,928
C474870,453
C47575,14
C47670,75
C476930,515
C477430,533
C47785,407
C47829,9
C478430,476
C47875,3
C47887,32
C501920,944
C51521,2
C825600,882
C82576,44
A37658,43
A376620,730
A411740,747
A411800,605
A41249,898
A48178,40
A48183,26
A501580,883
A551540,519
A716090,681
B31055,478
B31059,201
B32584,38
B326310,648
B51503,16
B51598,2
B51614,351
B51628,5
B51643,118
B630830,194
B71158,16
C13029,58
C13045,530
C13132,553
C13140,12
C300530,178
C30083,93
C30111,15
C30147,132
C30165,6
C30308,16
C30503,466
C47618,38
C476310,469
C47644,9
C47685,348
C47718,7
C477350,527
C477380,359
C477480,586
C47761,4
C47772,7
C47792,610
C478130,447
C47836,28
C478740,440
C47919,6
C47923,1
C500040,828
C515880,360
C82548,25
C82601,691
C826560,784
A376730,545
A411160,735
A412100,853
A41283,26
A413430,125
A480670,678
A481160,832
A501950,296
A72023,767
B11556,94
B115930,152
B31028,31
B325040,742
B326780,559
B42583,3
B51533,2
B515710,374
B51573,1
B71017,4
C130080,239
C13028,589
C13073,725
C13120,588
C131820,153
C13203,0
C201030,625
C30006,1
C30030,16
C30136,6
C301430,540
C30171,16
C30244,5
C411780,98
C413840,556
C47525,4
C476560,503
C477060,560
C47707,2
C47709,8
C477370,250
C47821,4
C47863,3
C478810,523
C47908,14
C47915,0
C47926,9
C47936,19
C47962,14
C502100,621
C51575,16
C51604,8
A37682,84
A410460,630
A412920,625
A48051,104
A48086,55
A48090,69
A716170,706
B105260,471
B11606,242
B11615,13
B116570,480
B195840,557
B325670,503
B581000,488
B600260,558
C13004,406
C13007,684
C13083,547
C301250,633
C30129,36
C30158,1
C413370,964
C476040,634
C47750,8
C47828,8
C47937,15
A080,929
A410720,837
A411270,541
A41302,301
A413120,774
A480650,855
A501690,729
A715460,647
A71570,138
A715810,594
A71589,51
B105120,424
B195350,193
B325440,414
B326180,697
B63062,17
B730790,345
C413350,920
C414010,873
C418740,744
C500330,941
C501730,887
C51506,1
C51623,7
A41329,47
A418210,87
A480500,891
A48098,37
A721070,473
A72133,23
B10130,33
B115810,691
B116120,378
B310390,571
B327100,733
B630030,583
B711480,0
C130120,321
C13047,555
C13157,15
C302200,598
C477030,439
C500370,825
C82680,0
A410330,692
A48168,97
A501620,728
A502180,611
A72170,203
B11573,9
B115860,502
B11637,34
B116770,587
B11721,24
B195770,379
B710690,211
B730940,3
C13067,441
C41149,873
C418620,973
C47577,46
C476120,423
A291060,626
A411170,680
A412790,572
A48019,55
A71585,144
B19514,247
B325400,313
B325620,122
B32624,412
B32699,288
B51624,135
B600770,449
B63004,9
B631020,413
C270930,412
C418690,597
C51553,4
C826300,467
A411690,807
A412290,672
A481610,918
A715870,572
A721840,575
B11570,7
B31122,499
B325790,484
B326040,222
B326210,421
B515140,410
C302320,544
C475380,433
C475640,502
C47677,3
C82545,68
C82594,23
A412060,639
A412550,325
A48071,122
A48117,42
A48125,99
A500710,579
A72063,80
B115530,443
B195880,420
B31134,362
B327250,435
B551180,60
B82505,18
C30121,12
C30255,233
C50165,965
C825120,723
C826530,795
A412110,744
A412300,546
A413080,698
A41822,435
A501390,664
B115430,492
B11576,239
B117120,600
B325640,442
B326230,499
C30162,8
C302030,488
C302070,384
C30279,69
C412680,431
C418410,826
C47497,5
C47563,117
C47805,0
A410530,593
A41083,201
A410950,174
A41097,52
A412670,669
A48123,69
A71902,557
A72115,136
A72153,28
B10183,0
B11534,152
B116870,659
B31050,395
B31145,302
B42576,2
B82568,83
C301680,507
C47726,167
A412090,680
A48111,91
A502130,833
B11549,31
B116240,683
B31096,541
B516490,487
B710370,491
B71152,63
C30287,526
C414070,771
C418800,757
C500560,782
C501470,957
A481410,856
A71622,112
B116820,610
B82514,32
A41379,667
A501840,204
A721500,519
B711370,48
A377220,555
A720590,42
A72092,308
B116760,526
A275850,466
A37512,264
A411920,802
A48179,15
C82614,66
B11720,32
B31130,385
B327120,1007
B550890,539
C501740,816
A376680,250
A41168,41
B11710,46
A48018,57
A480440,712
B116640,631
B31047,436
B631000,429
B711610,754
C418710,687
A291140,408
A715190,691
B44588,5
C72087,721
C878500,321
A721250,749
C302410,564
B711060,499
C200440,391
C20082,8
A412040,723
C825580,796
C878440,0
A550770,460
B101170,379
A290130,0
B100830,10
B44620,28
C426220,427
C47667,15
A376560,479
C200320,498
C425260,428
A551030,368
A721660,526
B42635,16
B42646,8
B711460,219
B195120,360
B270620,460
B42544,1
B426040,454
B426520,375
